@id,@lon,@lat,name,operator,manufacturer,manufacturer:type,generator:manufacturer,generator:type,generator:output:electricity,power_rating,rotor:diameter,height,ref,note
250199125,5.3707159,52.4007403,,,,,,,,,,,,
250199127,5.3791513,52.3931857,,,,,,,,,,,,
250202907,8.2428210,52.2129020,,,,,,,,,,,,
250202958,8.2419931,52.2146097,,,,,,,,,,,,
250880573,8.9707761,52.3094581,,,,,,,,,,,,
251140802,9.7698481,53.3902959,,,,,,,,,,,,
251140803,9.7680762,53.3881411,,,,,,,,,,,,
251140809,9.7720673,53.3886018,,,,,,,,,,,,
251140812,9.7761014,53.3890625,,,,,,,,,,,,
251140919,9.7798779,53.3894720,,,,,,,,,,,,
251140976,9.7670602,53.3934251,,,,,,,,,,,,
251378809,16.2285014,48.4161806,,,,,,,,,,,,
251685178,6.1409127,50.8916335,,,,,,,,,,,,
251685395,6.1406037,50.8950226,,,,,,,,,,,,
251755093,9.5882396,53.4505290,,,,,,,1.65 MW,1650 kW,,,V-13351,
251766670,5.3291255,52.2978334,,,,,,,,,,,,
251766690,5.3317434,52.2962693,,,,,,,,,,,,
251766691,5.3343784,52.2947470,,,,,,,,,,,,
251766692,5.3370219,52.2931721,,,,,,,,,,,,
251766694,5.3396741,52.2916602,,,,,,,,,,,,
251766697,5.3422747,52.2900747,,,,,,,,,,,,
251766698,5.3449613,52.2885103,,,,,,,,,,,,
251766705,5.3475878,52.2869562,,,,,,,,,,,,
251766706,5.3502141,52.2854230,,,,,,,,,,,,
251766707,5.3528578,52.2838847,,,,,,,,,,,,
251766725,5.3554564,52.2823053,,,,,,,,,,,,
251769737,5.3581364,52.2807026,,,,,,,,,,,,
251769738,5.3607541,52.2791587,,,,,,,,,,,,
251769739,5.3633633,52.2776096,,,,,,,,,,,,
251769740,5.3660327,52.2760447,,,,,,,,,,,,
251769741,5.3686419,52.2744849,,,,,,,,,,,,
251769742,5.3712770,52.2729356,,,,,,,,,,,,
251769743,5.3739292,52.2713810,,Nuon,,,,,,,,,,
251772826,5.4382229,52.3013609,,,,,,,,,,,,
251773592,5.3874577,52.3315624,,,,,,,,,,,,
251773594,5.3844525,52.3381415,,,,,,,,,,,,
251773632,5.3739689,52.3285097,,,,,,,,,,,,
251773633,5.3855134,52.3195944,,,,,,,,,,,,
251773666,5.3756946,52.3416633,,,,,,,,,,,,
251773691,5.3786056,52.3429815,,,,,,,,,,,,
251773692,5.3742788,52.3466413,,,,,,,,,,,,
251773693,5.3712464,52.3453461,,,,,,,,,,,,
251774389,5.3701125,52.3503232,,,,,,,,,,,,
251774390,5.3654000,52.3507978,,,,,,,,,,,,
251774401,5.3588288,52.3564868,,,,,,,,,,,,
251774549,5.3567983,52.3781765,,,,,,,,,,,,
251820820,11.5951469,48.5208609,,,,,,,,,,,,
252482385,6.2291757,51.7071257,D 60046,,,,,,,,,,10 WEA 60046,
252502672,10.2322061,53.4188369,,,,,,,,,,,,
252502673,10.2359397,53.4181720,,,,,,,,,,,,
252502675,10.2374160,53.4202282,,,,,,,,,,,,
252502705,10.2336910,53.4208574,,,,,,,,,,,,
252503284,10.2394502,53.4163969,,,,,,,,,,,,
252503285,10.2406433,53.4180492,,,,,,,,,,,,
252503286,10.2417934,53.4197116,,,,,,,,,,,,
252503295,10.2429950,53.4213382,,,,,,,,,,,,
252503296,10.2388580,53.4223100,,,,,,,,,,,,
252503297,10.2351673,53.4228368,,,,,,,,,,,,
252503307,10.2366865,53.4249338,,,,,,,,,,,,
252503308,10.2403171,53.4243559,,,,,,,,,,,,
252533016,8.6483374,53.1316405,,,,,,,,,,,,
252533024,8.6698431,53.1460725,,,,,,,,,,,,
252533026,8.6751472,53.1447602,,,,,,,,,,,,
252533027,8.6675230,53.1424363,,,,,,,,,,,,
252533038,8.6730229,53.1410148,,,,,,,,,,,,
252533039,8.6657212,53.1386796,,,,,,,,,,,,
252533060,8.6711069,53.1375403,,,,,,,,,,,,
252722216,9.8390318,53.4966185,,,,,,,,,,,,
252722218,9.8398032,53.4980970,,,,,,,,,,,,
